"material";"cost";"date_import";"created_at";"updated_at"
"110002723";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARAMIDYARN600DTX";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN1580";"22.27";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN16100";"25.5";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN1610DT";"22.38";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN3220/3160";"19.83";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN6300";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN6320";"20.74";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN6440";"22.61";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN670";"0.01";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN7900";"20";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN8050";"28.47";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN8050/968";"19.59";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMDYARN9660";"23";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMIDYARN1610";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMIDYARN220";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMIDYARN420";"82.68";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"ARMIDYARN550";"0.01";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BENDLITE000";"3.54";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
