"machine";"cost";"date_import";"created_at";"updated_at"
"2";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"4";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"6";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"8";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"10";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"12";"3.8";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"13";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"14";"10";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"17";"10";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"18";"12.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"20";"10";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"22";"8.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"23";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"24";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"25";"41";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"26";"22";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"27";"22";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"28";"27.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"30";"32.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"31";"41";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"32";"41";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"35";"32.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"36";"4";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"37";"11";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"38";"5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"39";"41";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"42";"5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"44";"5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"45";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"47";"11";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"48";"41";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"50";"3.8";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"52";"11";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"54";"3.8";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"55";"8.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"62";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"64";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"65";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"66";"4.9";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"70";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"72";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"76";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"78";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"80";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"84";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"85";"3.8";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"90";"8.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"92";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"96";"55";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"98";"3.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"231";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"232";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"233";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"234";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"245";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"265";"32.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"281";"27.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"282";"27.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"291";"27.5";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"365";"4";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"374";"11";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"376";"11";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"378";"14.8";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"455";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"457";"15";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"545";"3.8";"2021-08-26";"2021-08-26 14:08:53";"2021-08-26 14:08:53"
"283";"27";"2021-08-26";NULL;NULL
