machine;cost;;;;
2;3.5;;;;
4;3.5;;;;
6;3.5;;;;
8;3.5;;;;
10;3.5;;;;
12;3.8;;;;
13;15;;;;
14;10;;;;
17;10;;;;
18;12.5;;;;
20;10;;;;
22;8.5;;;;
23;15;;;;
24;15;;;;
25;41;;;;
26;22;;;;
27;22;;;;
28;27.5;;;;
30;32.5;;;;
31;41;;;;
32;41;;;;
35;32.5;;;;
36;4;;;;
37;11;;;;
38;5;;;;
39;41;;;;
42;5;;;;
44;5;;;;
45;15;;;;
47;11;;;;
48;41;;;;
50;3.8;;;;
52;11;;;;
54;3.8;;;;
55;8.5;;;;
62;3.5;;;;
64;3.5;;;;
65;3.5;;;;
66;4.9;;;;
70;3.5;;;;
72;3.5;;;;
76;3.5;;;;
78;3.5;;;;
80;3.5;;;;
84;3.5;;;;
85;3.8;;;;
90;8.5;;;;
92;3.5;;;;
96;55;;;;
98;3.5;;;;
231;15;;;;
232;15;;;;
233;15;;;;
234;15;;;;
245;15;;;;
265;32.5;;;;
281;27.5;;;;
282;27.5;;;;
291;27.5;;;;
365;4;;;;
374;11;;;;
376;11;;;;
378;14.8;;;;
455;15;;;;
457;15;;;;
545;3.8;;;;
283;27;;;;
